League,Week,Winner,Loser,Winner Pts,Loser Pts
BB3,1,theBandit216,gpeisert1,132.64,98.76
BB3,2,theBandit216,JeffMyers,124.32,121.34
BB4,6,jnappy,ProfessorD,209.26,157.68
BB4,3,jnappy,aledo,170.62,122.5
BB4,2,jnappy,WestCoastNonsense,153.4,140.8
BB5,5,jnappy,gpeisert1,200.76,107.84
BB5,4,jnappy,koolaid403,169.8,156.48
BB5,6,jnappy,Fordo45,147.86,104.58
MainLeague,6,Mschmoopie,ConorDeLa,132.0,78.48
MainLeague,1,Mschmoopie,ProfessorD,113.16,105.04
MainLeague,7,Mschmoopie,plfinken,158.82,127.52
MainLeague,3,Mschmoopie,CoryPeisert,172.34,104.34
BB1,4,jnappy,gpeisert1,147.52,127.48
BB1,1,jnappy,theBandit216,169.38,132.04
BB1,7,jnappy,plfinken,138.1,101.46
BB1,2,jnappy,aledo,220.46,159.32
BB2,7,gpeisert1,ProfessorD,175.96,168.9
BB2,5,gpeisert1,jnappy,181.02,165.72
BB2,2,gpeisert1,Deerslayer65,141.72,134.26
QuickDraft 1,1,Frank1983,ConorDeLa,159.58,154.06
QuickDraft 1,4,Frank1983,WestCoastNonsense,162.22,138.32
QuickDraft 1,5,Frank1983,aledo,162.86,153.5
QuickDraft 1,7,Frank1983,theBandit216,161.14,102.58
Quickdraft 2,5,tford51,aledo,150.44,143.72
Quickdraft 2,2,tford51,WestCoastNonsense,209.04,140.38
BB3,7,WestCoastNonsense,ProfessorD,130.62,118.5
BB4,7,ConorDeLa,jnappy,161.54,138.92
BB4,5,ConorDeLa,theBandit216,160.36,156.46
BB4,6,ConorDeLa,msbosway,198.84,122.86
BB5,4,WestCoastNonsense,ConorDeLa,184.88,162.94
BB5,7,WestCoastNonsense,gpeisert1,151.74,144.92
BB5,6,WestCoastNonsense,koolaid403,169.72,163.18
BB5,2,WestCoastNonsense,Fordo45,162.66,155.72
MainLeague,6,theBandit216,ChiJV,141.78,104.46
MainLeague,7,theBandit216,tford51,118.04,104.78
BB1,4,Mschmoopie,ProfessorD,177.36,157.62
BB1,3,Mschmoopie,koolaid403,171.62,124.26
BB1,2,Mschmoopie,ConorDeLa,157.68,150.16
BB1,1,Mschmoopie,tford51,156.04,83.94
BB1,5,Mschmoopie,aledo,160.54,153.92
BB2,4,ConorDeLa,WestCoastNonsense,146.8,144.38
BB2,5,ConorDeLa,Deerslayer65,177.82,125.32
QuickDraft 1,3,aledo,koolaid403,156.1,117.26
QuickDraft 1,1,aledo,WestCoastNonsense,168.12,133.42
QuickDraft 1,6,aledo,tford51,164.4,157.62
Quickdraft 2,7,koolaid403,ProfessorD,183.92,148.0
Quickdraft 2,1,koolaid403,aledo,181.78,143.16
Quickdraft 2,3,koolaid403,theBandit216,217.02,172.86
Quickdraft 2,4,koolaid403,tford51,200.56,142.62
Quickdraft 2,6,koolaid403,WestCoastNonsense,175.52,175.08
