full_name,espn_id,rotowire_id,sportradar_id,yahoo_id,college,years_experience,team,position,coach,bye,league_name
Diontae Johnson,3932905,13472,244c00c7-fe9a-4f4f-adff-1d5b9c8877e7,31898,Toledo,5.0,CAR,WR,gpeisert1,11,MainLeague
Jalen Hurts,4040715,14416,64bd0f02-6a5d-407e-98f1-fd02048ea21d,32723,Oklahoma,4.0,PHI,QB,gpeisert1,5,MainLeague
Antonio Gibson,4360294,14639,c0a8a5d0-583f-457a-9d96-70027d3f69e7,32736,Memphis,4.0,NE,RB,gpeisert1,14,MainLeague
Juwan Johnson,3929645,14630,0226b03b-f91d-4223-9813-9fcd2e9c3acc,33113,Oregon,4.0,NO,TE,gpeisert1,12,MainLeague
Jauan Jennings,3886598,14376,3ae9f0fa-c711-4663-80cf-4707856c07aa,32887,Tennessee,4.0,SF,WR,gpeisert1,9,MainLeague
Ja'Marr Chase,-1,15183,fa99e984-d63b-4ef4-a164-407f68a7eeaf,-1,LSU,3.0,CIN,WR,gpeisert1,12,MainLeague
Trey Sermon,-1,15413,b7146193-fcd1-4b02-a6da-625fe467f60e,-1,Ohio State,3.0,IND,RB,gpeisert1,14,MainLeague
Rhamondre Stevenson,-1,15372,6260e78a-64e2-4f7e-9bf8-39948a17a370,-1,Oklahoma,3.0,NE,RB,gpeisert1,14,MainLeague
Jahan Dotson,-1,15850,d4a7917d-f327-431b-9b87-83af341c3e21,-1,Penn State,2.0,WAS,WR,gpeisert1,14,MainLeague
Trey McBride,-1,15902,734d54cc-c869-4e2f-a60f-c59c493f5110,-1,Colorado State,2.0,ARI,TE,gpeisert1,11,MainLeague
James Cook,-1,15876,ce5de0e5-9f76-42ee-b93a-3ef88af9b0a7,-1,Georgia,2.0,BUF,RB,gpeisert1,12,MainLeague
Hendon Hooker,-1,16905,25b10007-802d-4ebb-8314-3eb7b24ddc37,-1,Tennessee,1.0,DET,QB,gpeisert1,5,MainLeague
Chris Rodriguez,-1,16933,ae5c4758-cb53-4f17-8763-b91381036af3,-1,Kentucky,1.0,WAS,RB,WestCoastNonsense,14,MainLeague
A.T. Perry,-1,16802,f6986d22-e3bb-4509-9309-90d92c01437a,-1,Wake Forest,1.0,NO,WR,WestCoastNonsense,12,MainLeague
Johnny Wilson,-1,17011,e8d389b5-56c8-4276-9983-0dbcc1663507,-1,Florida State,0.0,PHI,WR,WestCoastNonsense,5,MainLeague
Kimani Vidal,-1,17821,ed923635-f021-4b76-9dbb-9f1901eeaab9,-1,Troy,0.0,LAC,RB,WestCoastNonsense,5,MainLeague
Tyrone Tracy,-1,17967,fc6c7973-79a9-4974-855e-bc13400fe641,-1,Purdue,0.0,NYG,RB,WestCoastNonsense,11,MainLeague
Davante Adams,16800,9455,e7d6ae25-bf15-4660-8b37-c37716551de3,27581,Fresno State,10.0,LV,WR,WestCoastNonsense,10,MainLeague
Demarcus Robinson,3043116,11163,46b16198-116f-4913-85db-2bc21462bd66,29360,Florida,8.0,LAR,WR,WestCoastNonsense,6,MainLeague
Evan Engram,3051876,11805,e21365af-8d66-416e-b0a5-8816d18fcfd9,30136,Ole Miss,7.0,JAX,TE,WestCoastNonsense,12,MainLeague
Jonnu Smith,3054212,11807,e4f25a37-74de-4bfb-b6c9-f50a4fab0b87,30213,Florida International,7.0,MIA,TE,WestCoastNonsense,6,MainLeague
Matthew Stafford,12483,5971,ade43b1a-0601-4672-83b6-d246bc066a19,9265,Georgia,15.0,LAR,QB,WestCoastNonsense,6,MainLeague
DJ Chark,3115394,12820,c2a7bd8a-d141-423a-8810-0988a59ff0b4,31031,LSU,6.0,LAC,WR,WestCoastNonsense,5,MainLeague
Josh Allen,3918298,12483,3069db07-aa43-4503-ab11-2ae5c0002721,30977,Wyoming,6.0,BUF,QB,WestCoastNonsense,12,MainLeague
