round,roster_id,player_id,picked_by,pick_no,is_keeper,draft_slot,draft_id,years_exp,team,status,sport,position,player_id,number,news_updated,last_name,injury_status,first_name,Player Fullname
4,6,7543,990442792889405440,43,,7,1060410180510253056,3,JAX,Active,nfl,RB,7543,1,1714268137941,Etienne,,Travis,Travis Etienne
4,10,4866,991952313524797440,44,,8,1060410180510253056,6,PHI,Active,nfl,RB,4866,26,1710183912987,Barkley,,Saquon,Saquon Barkley
4,2,8130,564663138659733504,45,,9,1060410180510253056,2,ARI,Active,nfl,TE,8130,85,1704688829165,McBride,,Trey,Trey McBride
4,9,7553,857665738834558976,46,,10,1060410180510253056,3,ATL,Active,nfl,TE,7553,8,1710363958107,Pitts,,Kyle,Kyle Pitts
4,4,7569,1081400535607037952,47,,11,1060410180510253056,3,HOU,Active,nfl,WR,7569,12,1712172005848,Collins,,Nico,Nico Collins
4,11,8151,992249754476257280,48,,12,1060410180510253056,2,SEA,Active,nfl,RB,8151,9,1704682828856,Walker,,Kenneth,Kenneth Walker
5,11,6819,992249754476257280,49,,12,1060410180510253056,4,IND,Active,nfl,WR,6819,11,1710175212460,Pittman,,Michael,Michael Pittman
5,4,11564,1081400535607037952,50,,11,1060410180510253056,0,NE,Active,nfl,QB,11564,10,1714092319990,Maye,,Drake,Drake Maye
5,4,11604,1081400535607037952,51,,10,1060410180510253056,0,LV,Active,nfl,TE,11604,,1714096220744,Bowers,,Brock,Brock Bowers
5,2,8138,564663138659733504,52,,9,1060410180510253056,2,BUF,Active,nfl,RB,8138,4,1705894818898,Cook,,James,James Cook
5,10,9502,991952313524797440,53,,8,1060410180510253056,1,HOU,Active,nfl,WR,9502,3,1714337444073,Dell,,Tank,Tank Dell
5,4,9756,1081400535607037952,54,,7,1060410180510253056,1,MIN,Active,nfl,WR,9756,3,1704905149399,Addison,,Jordan,Jordan Addison
5,7,8136,992197862165377024,55,,6,1060410180510253056,2,TB,Active,nfl,RB,8136,1,1705880417432,White,,Rachaad,Rachaad White
5,5,10236,735703182587600896,56,,5,1060410180510253056,1,BUF,Active,nfl,TE,10236,86,1705967150635,Kincaid,,Dalton,Dalton Kincaid
5,3,9997,987074330058113024,57,,4,1060410180510253056,1,BAL,Active,nfl,WR,9997,4,1707426924787,Flowers,,Zay,Zay Flowers
5,1,3198,1079146414086705152,58,,3,1060410180510253056,8,BAL,Active,nfl,RB,3198,22,1712082056436,Henry,,Derrick,Derrick Henry
5,12,11624,998692352560746496,59,,2,1060410180510253056,0,KC,Active,nfl,WR,11624,,1714102526078,Worthy,,Xavier,Xavier Worthy
5,3,5850,987074330058113024,60,,1,1060410180510253056,5,GB,Active,nfl,RB,5850,8,1711476953630,Jacobs,,Josh,Josh Jacobs
6,8,5012,564369169909952512,61,,1,1060410180510253056,6,BAL,Active,nfl,TE,5012,89,1706587546038,Andrews,,Mark,Mark Andrews
6,12,1466,998692352560746496,62,,2,1060410180510253056,11,KC,Active,nfl,TE,1466,87,1707767761505,Kelce,,Travis,Travis Kelce
6,1,10229,1079146414086705152,63,,3,1060410180510253056,1,KC,Active,nfl,WR,10229,4,1713813922098,Rice,,Rashee,Rashee Rice
6,3,2133,987074330058113024,64,,4,1060410180510253056,10,LV,Active,nfl,WR,2133,17,1713149417431,Adams,,Davante,Davante Adams
6,5,8205,735703182587600896,65,,5,1060410180510253056,2,KC,Active,nfl,RB,8205,10,1707713754729,Pacheco,,Isiah,Isiah Pacheco
6,7,8137,992197862165377024,66,,6,1060410180510253056,2,PIT,Active,nfl,WR,8137,14,1705372202342,Pickens,,George,George Pickens
6,6,7591,990442792889405440,67,,7,1060410180510253056,3,PIT,Active,nfl,QB,7591,2,1713967552558,Fields,,Justin,Justin Fields
6,10,3163,991952313524797440,68,,8,1060410180510253056,8,DET,Active,nfl,QB,3163,16,1713990010439,Goff,,Jared,Jared Goff
6,2,5846,564663138659733504,69,,9,1060410180510253056,5,SEA,Active,nfl,WR,5846,14,1704708630891,Metcalf,,DK,DK Metcalf
6,8,10222,564369169909952512,70,,10,1060410180510253056,1,GB,Active,nfl,WR,10222,11,1705814109737,Reed,,Jayden,Jayden Reed
6,6,5844,990442792889405440,71,,11,1060410180510253056,5,MIN,Active,nfl,TE,5844,87,1707405659106,Hockenson,,T.J.,T.J. Hockenson
6,11,5872,992249754476257280,72,,12,1060410180510253056,5,SF,Active,nfl,WR,5872,1,1714190427850,Samuel,,Deebo,Deebo Samuel
7,11,11635,992249754476257280,73,,12,1060410180510253056,0,LAC,Active,nfl,WR,11635,,1714174227142,McConkey,,Ladd,Ladd McConkey
7,4,11565,1081400535607037952,74,,11,1060410180510253056,0,MIN,Active,nfl,QB,11565,,1714127122945,McCarthy,,J.J.,J.J. McCarthy
7,9,4017,857665738834558976,75,,10,1060410180510253056,7,CLE,Active,nfl,QB,4017,4,1713454526446,Watson,,Deshaun,Deshaun Watson
7,2,1166,564663138659733504,76,,9,1060410180510253056,12,ATL,Active,nfl,QB,1166,18,1714326340479,Cousins,,Kirk,Kirk Cousins
7,10,4217,991952313524797440,77,,8,1060410180510253056,7,SF,Active,nfl,TE,4217,85,1711392041148,Kittle,,George,George Kittle
7,6,4018,990442792889405440,78,,7,1060410180510253056,7,HOU,Active,nfl,RB,4018,28,1710454203115,Mixon,,Joe,Joe Mixon
7,7,8110,992197862165377024,79,,6,1060410180510253056,2,DAL,Active,nfl,TE,8110,87,1705285549206,Ferguson,,Jake,Jake Ferguson
7,5,9228,735703182587600896,80,,5,1060410180510253056,1,CAR,Active,nfl,QB,9228,9,1710432903976,Young,,Bryce,Bryce Young
7,3,4066,987074330058113024,81,,4,1060410180510253056,7,JAX,Active,nfl,TE,4066,17,1704699030696,Engram,,Evan,Evan Engram
7,1,96,1079146414086705152,82,,3,1060410180510253056,19,NYJ,Active,nfl,QB,96,8,1713206122751,Rodgers,,Aaron,Aaron Rodgers
7,12,4892,998692352560746496,83,,2,1060410180510253056,6,TB,Active,nfl,QB,4892,6,1710106806215,Mayfield,,Baker,Baker Mayfield
7,9,2449,857665738834558976,84,,1,1060410180510253056,9,HOU,Active,nfl,WR,2449,1,1712265331543,Diggs,,Stefon,Stefon Diggs
8,8,7588,564369169909952512,85,,1,1060410180510253056,3,DEN,Active,nfl,RB,7588,33,1704676527848,Williams,,Javonte,Javonte Williams
8,12,6826,998692352560746496,86,,2,1060410180510253056,4,CHI,Active,nfl,TE,6826,85,1707434124232,Kmet,,Cole,Cole Kmet
8,1,2216,1079146414086705152,87,,3,1060410180510253056,10,TB,Active,nfl,WR,2216,13,1709579419232,Evans,,Mike,Mike Evans
8,3,421,987074330058113024,88,,4,1060410180510253056,15,LAR,Active,nfl,QB,421,9,1714164024583,Stafford,,Matthew,Matthew Stafford
8,5,11637,735703182587600896,89,,5,1060410180510253056,0,BUF,Active,nfl,WR,11637,,1714173927766,Coleman,,Keon,Keon Coleman
8,7,6790,992197862165377024,90,,6,1060410180510253056,4,CHI,Active,nfl,RB,6790,0,1711485954612,Swift,,D'Andre,D'Andre Swift
8,6,4033,990442792889405440,91,,7,1060410180510253056,7,CLE,Active,nfl,TE,4033,85,1705238740893,Njoku,,David,David Njoku
8,10,9999,991952313524797440,92,,8,1060410180510253056,1,TEN,Active,nfl,QB,9999,8,1710435304192,Levis,,Will,Will Levis
8,2,11589,564663138659733504,93,,9,1060410180510253056,0,ARI,Active,nfl,RB,11589,,1714182928135,Benson,,Trey,Trey Benson
8,9,8167,857665738834558976,94,,10,1060410180510253056,2,GB,Active,nfl,WR,8167,9,1711475153075,Watson,,Christian,Christian Watson
8,4,11583,1081400535607037952,95,,11,1060410180510253056,0,CAR,Active,nfl,RB,11583,,1714178133195,Brooks,,Jonathon,Jonathon Brooks
8,11,7528,992249754476257280,96,,12,1060410180510253056,3,PIT,Active,nfl,RB,7528,22,1709269245133,Harris,,Najee,Najee Harris
9,11,9488,992249754476257280,97,,12,1060410180510253056,1,SEA,Active,nfl,WR,9488,11,1704849343338,Smith-Njigba,,Jaxon,Jaxon Smith-Njigba
9,4,5892,1081400535607037952,98,,11,1060410180510253056,5,DET,Active,nfl,RB,5892,5,1706538941865,Montgomery,,David,David Montgomery
9,4,11631,1081400535607037952,99,,10,1060410180510253056,0,JAX,Active,nfl,WR,11631,,1714100424783,Thomas,,Brian,Brian Thomas
9,2,7611,564663138659733504,100,,9,1060410180510253056,3,NE,Active,nfl,RB,7611,38,1708371055903,Stevenson,,Rhamondre,Rhamondre Stevenson
9,10,5967,991952313524797440,101,,8,1060410180510253056,5,TEN,Active,nfl,RB,5967,20,1712805326336,Pollard,,Tony,Tony Pollard
9,6,5927,990442792889405440,102,,7,1060410180510253056,5,WAS,Active,nfl,WR,5927,17,1704684028510,McLaurin,,Terry,Terry McLaurin
9,7,4037,992197862165377024,103,,6,1060410180510253056,7,TB,Active,nfl,WR,4037,14,1710262206010,Godwin,,Chris,Chris Godwin
9,5,2309,735703182587600896,104,,5,1060410180510253056,9,CLE,Active,nfl,WR,2309,2,1711762228809,Cooper,,Amari,Amari Cooper
9,3,9500,987074330058113024,105,,4,1060410180510253056,1,IND,Active,nfl,WR,9500,1,1704900049104,Downs,,Josh,Josh Downs
9,1,4035,1079146414086705152,106,,3,1060410180510253056,7,NO,Active,nfl,RB,4035,41,1708542609915,Kamara,,Alvin,Alvin Kamara
9,12,11563,998692352560746496,107,,2,1060410180510253056,0,DEN,Active,nfl,QB,11563,,1714095920685,Nix,,Bo,Bo Nix
9,8,9508,564369169909952512,108,,1,1060410180510253056,1,TEN,Active,nfl,RB,9508,2,1710259206317,Spears,,Tyjae,Tyjae Spears
10,8,1234,564369169909952512,109,,1,1060410180510253056,12,PIT,Active,nfl,QB,1234,3,1711389940711,Wilson,,Russell,Russell Wilson
10,12,8148,998692352560746496,110,,2,1060410180510253056,2,DET,Active,nfl,WR,8148,9,1714419319073,Williams,,Jameson,Jameson Williams
10,1,4039,1079146414086705152,111,,3,1060410180510253056,7,LAR,Active,nfl,WR,4039,10,1705313752963,Kupp,,Cooper,Cooper Kupp
10,3,8139,987074330058113024,112,,4,1060410180510253056,2,LV,Active,nfl,RB,8139,35,1714417818058,White,,Zamir,Zamir White
10,5,1373,735703182587600896,113,,5,1060410180510253056,11,SEA,Active,nfl,QB,1373,7,1711330234747,Smith,,Geno,Geno Smith
10,7,5870,992197862165377024,114,,6,1060410180510253056,5,NYG,Active,nfl,QB,5870,8,1713206423035,Jones,,Daniel,Daniel Jones
10,6,4988,990442792889405440,115,,7,1060410180510253056,6,CLE,Active,nfl,RB,4988,24,1713463824160,Chubb,,Nick,Nick Chubb
10,10,4950,991952313524797440,116,,8,1060410180510253056,6,JAX,Active,nfl,WR,4950,13,1713299732197,Kirk,,Christian,Christian Kirk
10,2,5937,564663138659733504,117,,9,1060410180510253056,5,CAR,Active,nfl,WR,5937,5,1710286850499,Johnson,,Diontae,Diontae Johnson
10,9,9754,857665738834558976,118,,10,1060410180510253056,1,LAC,Active,nfl,WR,9754,1,1710533421219,Johnston,,Quentin,Quentin Johnston
10,9,8154,857665738834558976,119,,11,1060410180510253056,2,WAS,Active,nfl,RB,8154,8,1710258605725,Robinson,,Brian,Brian Robinson
10,11,11586,992249754476257280,120,,12,1060410180510253056,0,LAR,Active,nfl,RB,11586,,1714185633502,Corum,,Blake,Blake Corum
11,11,6845,992249754476257280,121,,12,1060410180510253056,4,CIN,Active,nfl,RB,6845,31,1714449013102,Moss,,Zack,Zack Moss
11,4,9481,1081400535607037952,122,,11,1060410180510253056,1,GB,Active,nfl,TE,9481,88,1705969550854,Musgrave,,Luke,Luke Musgrave
11,9,5001,857665738834558976,123,,10,1060410180510253056,6,HOU,Active,nfl,TE,5001,86,1709666431256,Schultz,,Dalton,Dalton Schultz
11,2,4199,564663138659733504,124,,9,1060410180510253056,7,MIN,Active,nfl,RB,4199,33,1710256206351,Jones,,Aaron,Aaron Jones
11,10,1479,991952313524797440,125,,8,1060410180510253056,11,CHI,Active,nfl,WR,1479,13,1711393241244,Allen,,Keenan,Keenan Allen
11,6,4663,990442792889405440,126,,7,1060410180510253056,7,WAS,Active,nfl,RB,4663,30,1710198904983,Ekeler,,Austin,Austin Ekeler
11,7,9753,992197862165377024,127,,6,1060410180510253056,1,SEA,Active,nfl,RB,9753,26,1704848104443,Charbonnet,,Zach,Zach Charbonnet
