Team,Wins,Losses,Total Points,Win_Percentage
WestCoastNonsense,8,0.0,812.25,1.0
AttackHawg,5,3.0,770.04,0.62
ProfessorD,5,3.0,768.32,0.62
jnappy,5,3.0,682.72,0.62
JeffMyers,4,4.0,676.25,0.5
gpeisert1,4,4.0,754.23,0.5
koolaid403,4,4.0,692.03,0.5
theBandit216,4,4.0,672.3,0.5
tas002,3,5.0,681.68,0.38
ConorDeLa,2,6.0,652.62,0.25
Deerslayer65,2,6.0,593.92,0.25
tford51,2,6.0,614.08,0.25
