Team,Wins,Losses,Total Points,Win_Percentage
ConorDeLa,18,8,2359.92,0.69
koolaid403,18,8,2335.32,0.69
WestCoastNonsense,17,9,2162.52,0.65
theBandit216,15,11,2171.26,0.58
ProfessorD,13,13,2143.38,0.5
Frank1983,8,18,1960.58,0.31
aledo,8,18,1936.68,0.31
tford51,7,19,1983.02,0.27
