Team,Wins,Losses,Total Points,Win_Percentage
WestCoastNonsense,6,0.0,520.1,1.0
ProfessorD,4,2.0,517.02,0.67
chrispape,3,3.0,493.46,0.5
gpeisert1,3,3.0,481.92,0.5
theBandit216,3,3.0,428.84,0.5
ConorDeLa,2,4.0,454.44,0.33
koolaid403,2,4.0,463.46,0.33
tford51,1,5.0,415.48,0.17
