Team,Wins,Losses,Total Points,Win_Percentage
ProfessorD,18,8,1995.08,0.69
ConorDeLa,15,11,2011.9,0.58
Frank1983,15,11,1995.68,0.58
aledo,15,11,1994.12,0.58
koolaid403,12,14,1784.06,0.46
tford51,12,14,1851.2,0.46
WestCoastNonsense,10,16,1756.56,0.38
theBandit216,7,19,1664.38,0.27
