Team,Wins,Losses,Total Points,Win_Percentage
ChiJV,2.0,0.0,3.6,1.0
CoryPeisert,2.0,0.0,1.3,1.0
plfinken,2.0,0.0,68.18,1.0
tford51,1.0,1.0,39.02,0.5
ConorDeLa,0.0,2.0,0.0,0.0
Mschmoopie,0.0,1.0,0.0,0.0
ProfessorD,0.0,1.0,0.0,0.0
WestCoastNonsense,0.0,2.0,0.0,0.0
gpeisert1,0.0,1.0,0.0,0.0
koolaid403,0.0,1.0,0.0,0.0
ntdow01,0.0,1.0,0.0,0.0
theBandit216,0.0,1.0,0.0,0.0
