Team,Wins,Losses,Total Points,Win_Percentage
koolaid403,20,8,2614.24,0.71
ConorDeLa,18,10,2551.14,0.64
WestCoastNonsense,18,10,2377.46,0.64
ProfessorD,15,13,2333.58,0.54
theBandit216,13,15,2340.1,0.46
Frank1983,11,17,2182.98,0.39
tford51,9,19,2169.16,0.32
aledo,8,20,2105.56,0.29
