Team,Wins,Losses,Total Points,Win_Percentage
Mschmoopie,19,7,2030.52,0.73
jnappy,19,7,1983.12,0.73
JeffMyers,17,9,1969.7,0.65
Deerslayer65,15,11,1890.86,0.58
tford51,15,11,2011.44,0.58
aledo,13,13,1924.34,0.5
koolaid403,12,14,1776.86,0.46
theBandit216,12,14,1801.42,0.46
ConorDeLa,10,16,1717.12,0.38
WestCoastNonsense,10,16,1702.2,0.38
ProfessorD,8,18,1632.18,0.31
gpeisert1,6,20,1687.64,0.23
