Team,Wins,Losses,Total Points,Win_Percentage
ProfessorD,18,8,1995.08,0.69
aledo,16,10,1995.12,0.62
ConorDeLa,15,11,2011.9,0.58
Frank1983,15,11,1995.68,0.58
koolaid403,12,14,1784.06,0.46
tford51,11,15,1851.2,0.42
WestCoastNonsense,10,16,1756.06,0.38
theBandit216,7,19,1664.38,0.27
