Team,Wins,Losses,Total Points,Win_Percentage
tford51,3.0,0.0,186.9,1.0
theBandit216,4.0,0.0,290.1,1.0
ConorDeLa,3.0,1.0,312.4,0.75
WestCoastNonsense,2.0,1.0,127.9,0.67
gpeisert1,2.0,2.0,291.0,0.5
ProfessorD,0.0,4.0,263.6,0.0
koolaid403,0.0,4.0,228.7,0.0
