Team,Wins,Losses,Total Points,Win_Percentage
gpeisert1,4.0,0.0,343.96,1.0
koolaid403,4.0,0.0,345.54,1.0
ConorDeLa,2.0,2.0,308.32,0.5
ProfessorD,2.0,2.0,302.82,0.5
chrispape,2.0,2.0,348.92,0.5
tford51,2.0,2.0,324.08,0.5
WestCoastNonsense,0.0,4.0,285.7,0.0
theBandit216,0.0,4.0,235.5,0.0
