Team,Wins,Losses,Total Points,Win_Percentage
Mschmoopie,6.0,2,738.98,0.75
ProfessorD,6.0,2,820.39,0.75
gpeisert1,6.0,2,751.04,0.75
BeerBuzzz,5.0,3,725.28,0.62
ConorDeLa,5.0,3,712.62,0.62
Deerslayer65,4.0,4,753.84,0.5
jnappy,4.0,4,730.4,0.5
koolaid403,4.0,4,725.07,0.5
AttackHawg,3.0,5,553.26,0.38
theBandit216,3.0,5,611.47,0.38
TeamBourbon,2.0,6,700.54,0.25
WestCoastNonsense,0.0,8,527.25,0.0
